"countries","rank","gdp billinors"
"Netherlands","17","368.1"
"Netherlands","17","362.6"
"Netherlands","17","358.9"
"Netherlands","17","346.3"
"Netherlands","17","317.1"
"Netherlands","17","314.3"
"Netherlands","17","299.2"
"Netherlands","17","284.1"
"Netherlands","17","282.3"
"Netherlands","17","250.0"
"Netherlands","17","249.9"
"Netherlands","17","231.5"
"Saudi Arabia","18","22,996.1"
"Saudi Arabia","18","17,734.1"
"Saudi Arabia","18","4,937.4"
"Saudi Arabia","18","4,223.1"
"Saudi Arabia","18","3,186.9"
"Saudi Arabia","18","3,173.4"
"Saudi Arabia","18","2,937.5"
"Saudi Arabia","18","2,099.9"
"Saudi Arabia","18","1,990.8"
"Saudi Arabia","18","1,798.5"
"Saudi Arabia","18","1,775.8"
"Saudi Arabia","18","1,609.0"
"Saudi Arabia","18","1,542.7"
"Saudi Arabia","18","1,425.3"
"Saudi Arabia","18","1,293.0"
"Saudi Arabia","18","1,186.1"
"Saudi Arabia","18","1,018.0"
"Saudi Arabia","18","833.5"
"Saudi Arabia","18","815.3"
"Saudi Arabia","18","812.9"
"Saudi Arabia","18","674.0"
"Saudi Arabia","18","627.4"
"Saudi Arabia","18","599.9"
"Saudi Arabia","18","506.0"
"Saudi Arabia","18","498.6"
"Saudi Arabia","18","491.5"
"Saudi Arabia","18","482.4"
"Saudi Arabia","18","482.4"
"Saudi Arabia","18","481.6"
"Saudi Arabia","18","477.1"
"Saudi Arabia","18","440.8"
"Saudi Arabia","18","419.9"
"Saudi Arabia","18","416.3"
"Saudi Arabia","18","404.1"
"Saudi Arabia","18","397.1"
"Saudi Arabia","18","397.0"
"Saudi Arabia","18","394.1"
"Saudi Arabia","18","372.7"
"Saudi Arabia","18","368.1"
"Saudi Arabia","18","362.6"
"Saudi Arabia","18","358.9"
"Saudi Arabia","18","346.3"
"Saudi Arabia","18","317.1"
"Saudi Arabia","18","314.3"
"Saudi Arabia","18","299.2"
"Saudi Arabia","18","284.1"
"Saudi Arabia","18","282.3"
"Saudi Arabia","18","250.0"
"Saudi Arabia","18","249.9"
"Saudi Arabia","18","231.5"
"Turkey","19","22,996.1"
"Turkey","19","17,734.1"
"Turkey","19","4,937.4"
"Turkey","19","4,223.1"
"Turkey","19","3,186.9"
"Turkey","19","3,173.4"
"Turkey","19","2,937.5"
"Turkey","19","2,099.9"
"Turkey","19","1,990.8"
"Turkey","19","1,798.5"
"Turkey","19","1,775.8"
"Turkey","19","1,609.0"
"Turkey","19","1,542.7"
"Turkey","19","1,425.3"
"Turkey","19","1,293.0"
"Turkey","19","1,186.1"
"Turkey","19","1,018.0"
"Turkey","19","833.5"
"Turkey","19","815.3"
"Turkey","19","812.9"
"Turkey","19","674.0"
"Turkey","19","627.4"
"Turkey","19","599.9"
"Turkey","19","506.0"
"Turkey","19","498.6"
"Turkey","19","491.5"
"Turkey","19","482.4"
"Turkey","19","482.4"
"Turkey","19","481.6"
"Turkey","19","477.1"
"Turkey","19","440.8"
"Turkey","19","419.9"
"Turkey","19","416.3"
"Turkey","19","404.1"
"Turkey","19","397.1"
"Turkey","19","397.0"
"Turkey","19","394.1"
"Turkey","19","372.7"
"Turkey","19","368.1"
"Turkey","19","362.6"
"Turkey","19","358.9"
"Turkey","19","346.3"
"Turkey","19","317.1"
"Turkey","19","314.3"
"Turkey","19","299.2"
"Turkey","19","284.1"
"Turkey","19","282.3"
"Turkey","19","250.0"
"Turkey","19","249.9"
"Turkey","19","231.5"
"Switzerland","20","22,996.1"
"Switzerland","20","17,734.1"
"Switzerland","20","4,937.4"
"Switzerland","20","4,223.1"
"Switzerland","20","3,186.9"
"Switzerland","20","3,173.4"
"Switzerland","20","2,937.5"
"Switzerland","20","2,099.9"
"Switzerland","20","1,990.8"
"Switzerland","20","1,798.5"
"Switzerland","20","1,775.8"
"Switzerland","20","1,609.0"
"Switzerland","20","1,542.7"
"Switzerland","20","1,425.3"
"Switzerland","20","1,293.0"
"Switzerland","20","1,186.1"
"Switzerland","20","1,018.0"
"Switzerland","20","833.5"
"Switzerland","20","815.3"
"Switzerland","20","812.9"
"Switzerland","20","674.0"
"Switzerland","20","627.4"
"Switzerland","20","599.9"
"Switzerland","20","506.0"
"Switzerland","20","498.6"
"Switzerland","20","491.5"
"Switzerland","20","482.4"
"Switzerland","20","482.4"
"Switzerland","20","481.6"
"Switzerland","20","477.1"
"Switzerland","20","440.8"
"Switzerland","20","419.9"
"Switzerland","20","416.3"
"Switzerland","20","404.1"
"Switzerland","20","397.1"
"Switzerland","20","397.0"
"Switzerland","20","394.1"
"Switzerland","20","372.7"
"Switzerland","20","368.1"
"Switzerland","20","362.6"
"Switzerland","20","358.9"
"Switzerland","20","346.3"
"Switzerland","20","317.1"
"Switzerland","20","314.3"
"Switzerland","20","299.2"
"Switzerland","20","284.1"
"Switzerland","20","282.3"
"Switzerland","20","250.0"
"Switzerland","20","249.9"
"Switzerland","20","231.5"
"Poland","21","22,996.1"
"Poland","21","17,734.1"
"Poland","21","4,937.4"
"Poland","21","4,223.1"
"Poland","21","3,186.9"
"Poland","21","3,173.4"
"Poland","21","2,937.5"
